YEAR,STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
2018,New Jersey,NJ,3248642.0,"3,169,310",6937759.0,11.22,18099.0,74867.79,14967.0,107934.0,,6051408.0,53.68,46.83
2018,New Mexico,NM,701654.0,"696,459",1614275.0,5.97,6887.0,6891.0,2805.0,16583.0,,1501320.0,46.74,43.47
2018,New York,NY,6230959.0,"6,104,477",15448193.0,10.32,42472.0,0.0,45192.0,87664.0,,13766275.0,45.26,40.33
2018,North Carolina,NC,3755778.0,"3,693,104",8115658.0,5.37,33700.0,45638.76,14215.0,93554.0,,7586293.0,49.51,46.28
2018,North Dakota,ND,330598.0,"326,138",580647.0,2.66,1679.0,0.0,0.0,1679.0,,563523.0,58.67,56.94
2018,Ohio,OH,4496834.0,"4,429,582",9092226.0,2.54,49932.0,0.0,0.0,49932.0,,8811352.0,51.03,49.46
2018,Oklahoma,OK,1190000.0,"1,186,385",2992026.0,4.12,27572.0,23690.0,1780.0,53042.0,,2815712.0,42.26,39.77
2018,Oregon,OR,1914923.0,"1,866,997",3325599.0,5.53,13795.0,0.0,0.0,13795.0,,3127898.0,61.22,57.58
2018,Pennsylvania,PA,5043029.0,"5,012,555",10155993.0,3.61,44162.0,0.0,0.0,44162.0,,9745199.0,51.75,49.66
2018,Rhode Island,RI,381267.0,"376,738",853159.0,6.75,2767.0,0.0,0.0,2767.0,,792803.0,48.09,44.69
2018,South Carolina,SC,1726527.0,"1,707,569",3997248.0,3.29,18613.0,18226.0,4980.0,41819.0,,3823919.0,45.15,43.19
2018,South Dakota,SD,341048.0,"339,214",664037.0,2.22,3867.0,0.0,3201.0,7068.0,,642227.0,53.1,51.36
2018,Tennessee,TN,2267428.0,"2,243,740",5281898.0,3.48,26120.0,34914.0,10842.0,71876.0,,5026212.0,45.11,42.93
2018,Texas,TX,8375000.0,"8,371,655",21367177.0,12.21,154935.0,209855.0,109213.0,474003.0,,18284242.0,45.8,39.2
2018,Utah,UT,1082972.0,"1,065,630",2240839.0,5.9,6288.0,0.0,0.0,6288.0,,2102342.0,51.51,48.33
2018,Vermont,VT,278230.0,"274,087",509304.0,1.97,0.0,0.0,0.0,0.0,,499271.0,55.73,54.63
2018,Virginia,VA,3363505.0,"3,351,373",6648405.0,6.01,35754.0,35973.0,1860.0,73587.0,,6175249.0,54.47,50.59
2018,Washington,WA,3133448.0,"3,086,168",5894441.0,8.8,18787.0,43703.0,12222.0,74712.0,,5301018.0,59.11,53.16
2018,West Virginia,WV,597149.0,"586,034",1437430.0,0.9,6757.0,3758.0,4287.0,14802.0,,1409691.0,42.36,41.54
2018,Wisconsin,WI,2675000.0,"2,673,308",4540190.0,3.05,23595.0,24458.0,21015.0,69068.0,,4332646.0,61.74,58.92
2018,Wyoming,WY,205275.0,"203,420",443716.0,2.51,2488.0,3068.0,934.0,6490.0,,426089.0,48.18,46.26
2016,United States,,138747904.0,"136,753,936",249964761.0,8.3,1416810.0,2198907.0,506297.0,3176484.0,4739596.0,230780798.0,60.12,55.51
2016,Alabama,AL,2134061.0,"2,123,372",3770952.0,2.5,28680.0,52177.0,8562.0,66983.0,,3609696.0,59.12,56.59
2016,Alaska,AK,321271.0,"318,608",554526.0,4.1,4317.0,6621.0,1812.0,9903.0,,521888.0,61.56,57.94
2016,Arizona,AZ,2661497.0,"2,604,657",5347427.0,9.4,37582.0,77373.0,7500.0,89185.0,,4755584.0,55.97,49.77
2016,Arkansas,AR,1137772.0,"1,130,635",2287921.0,3.8,17242.0,30881.0,23792.0,58636.0,,2142344.0,53.11,49.73
2016,California,CA,14610509.0,"14,181,595",30130155.0,16.4,130390.0,0.0,0.0,130390.0,,25058420.0,58.31,48.49
2016,Colorado,CO,2859216.0,"2,780,247",4301685.0,7.0,18576.0,0.0,10186.0,28762.0,,3971805.0,71.99,66.47
2016,Connecticut,CT,1675955.0,"1,644,920",2827488.0,7.8,14475.0,0.0,3379.0,17854.0,,2589090.0,64.73,59.27
2016,Delaware,DE,445228.0,"443,814",748217.0,5.7,6254.0,15395.0,387.0,15416.0,,690153.0,64.51,59.51
2016,District of Columbia,DC,312575.0,"311,268",565352.0,8.4,0.0,0.0,0.0,0.0,,517863.0,60.36,55.29
2016,Florida,FL,9580489.0,"9,420,039",16533216.0,10.5,92847.0,214066.0,4566.0,219431.0,,14577798.0,65.72,57.95
2016,Georgia,GA,4165405.0,"4,114,732",7831741.0,7.2,51092.0,410964.0,22386.0,307727.0,,6960129.0,59.85,53.19
2016,Hawaii,HI,437664.0,"428,937",1120762.0,9.1,5474.0,0.0,0.0,5474.0,,1013299.0,43.19,39.05
2016,Idaho,ID,710545.0,"690,255",1256143.0,4.4,7949.0,32409.0,5054.0,31476.0,,1169396.0,60.76,56.57
2016,Illinois,IL,5666118.0,"5,589,631",9887574.0,8.5,42017.0,0.0,0.0,42017.0,,9005114.0,62.92,57.31
2016,Indiana,IN,2807676.0,"2,734,958",5072700.0,3.7,24948.0,0.0,0.0,24948.0,,4860062.0,57.77,55.35
2016,Iowa,IA,1581371.0,"1,566,031",2404019.0,3.6,8888.0,29254.0,6051.0,31614.0,,2285860.0,69.18,65.78
2016,Kansas,KS,1225667.0,"1,184,402",2196904.0,5.2,9613.0,16654.0,4830.0,23936.0,,2058729.0,59.54,55.79
2016,Kentucky,KY,1955195.0,"1,924,149",3430752.0,2.4,22868.0,48457.0,15383.0,65871.0,,3282543.0,59.56,56.99
2016,Louisiana,LA,2049531.0,"2,029,032",3563801.0,2.7,35543.0,40174.0,30907.0,89349.0,,3378229.0,60.67,57.51
2016,Maine,ME,771892.0,"747,927",1079197.0,1.8,0.0,0.0,0.0,0.0,,1059772.0,72.84,71.52
2016,Maryland,MD,2807322.0,"2,781,446",4663738.0,8.8,19382.0,72529.0,10305.0,71029.0,,4182300.0,67.12,60.19
2016,Massachusetts,MA,3378801.0,"3,325,046",5453921.0,8.9,8780.0,0.0,0.0,8780.0,,4959742.0,68.12,61.95
2016,Michigan,MI,4874619.0,"4,799,284",7765389.0,3.7,40502.0,0.0,0.0,40502.0,,7437567.0,65.54,62.77
2016,Minnesota,MN,2968281.0,"2,944,813",4242668.0,4.6,10158.0,96852.0,7075.0,72439.0,,3975066.0,74.67,69.96
2016,Mississippi,MS,1209357.0,"1,209,357",2268353.0,1.4,19150.0,29067.0,8645.0,44363.0,,2192233.0,55.17,53.31
2016,Missouri,MO,2811549.0,"2,808,605",4709176.0,2.5,31956.0,43799.0,17792.0,74713.0,,4516733.0,62.25,59.7
